http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/source,http://purl.org/dc/terms/abstract,http://purl.org/dc/terms/date,http://purl.obolibrary.org/obo/IAO_0000136,http://purl.obolibrary.org/obo/IAO_00001362,
175, Effect of Two Immediate Dentin Sealing Approaches on Bond Strength of Lava™ CAD/CAM Indirect Restoration,"H. F. A. Gailani, C. Benavides-Reyes, M. V. Bolaños-Carmona, E. Rosel-Gallardo, P. González-Villafranca and S. González-López", Materials (Basel)," The objective of this work was to compare the micro-tensile bond strength (µTBS) of CAD/CAM (Computer-Aided Design/ Computer-Aided Manufacturing) specimens cemented with different pairing of adhesives and resin-cements using two Immediate Dentin Dealing (IDS) approaches in comparison with Delay Dentin Sealing (DDS). Coronal dentin from 108 molars were divided into nine groups (n = 12) depending on the adhesive/resin-cement (A-C) assigned. Lava™ Ultimate (4 × 10 × 10 mm) was cemented according to different strategies: IDS1(cementation after dentin sealing), DDS (dentin sealing and cementation at 2-weeks), IDS2 (immediate dentin sealing and cementation at 2-weeks). Samples were sectioned and tested until failure to determine the µTBS. Failure mode was categorized as dentin/cement (DC), at Lava™ Ultimate/cement (LC) and hybrid (H). Kruskal-Wallis and Mann-Whitney U tests and influence of the type of failure on the µTBS by survival analysis with competing risk was explored. Mostly, µTBS values were equal or higher in IDS2 than DDS. In general, A-Cs that showed higher µTBS, have high percentages of LC failure. Survival analysis with competing risk between DC + H and LC values showed that some A-Cs would significantly increase the µTBS values for IDS2. A-Cs with the highest adhesion values showed a high percentage of fractures at the LC interface, suggesting that the adhesion at the adhesive/dentin interface would be higher.",2021,0,0,
471, Surface Deterioration of Indirect Restorative Materials,"A. M. Mushashe, I. C. Farias, C. C. Gonzaga, L. F. D. Cunha, J. L. Ferracane and G. M. Correr", Braz Dent J," The objective of this work was to evaluate the effects of in vitro and in situ biodegradation on the surface characteristics of two resin cements and a hybrid ceramic system. One hundred and eighty specimens (4X1.5mm) of each material (Maxcem Elite, NX3 Nexus and Vita Enamic) were made and randomly distributed in twelve groups (n=15) according to the material and biodegradation method. The specimens were then submitted to the following challenges: storage in distilled water 37 ºC for 24 h or 7 days, storage for 7 days, at 37 ºC, in stimulated saliva or in situ. The in situ stage corresponded to the preparation of 15 intraoral palatal devices, used for 7 days. Each device presented 3 niches, where a sample of each materials was accommodated. Specimens from both saliva and in situ groups suffered a cariogenic challenge, corresponding to the application of a solution of 20% of sucrose, 10 times throughout each day. After each biodegradation method, the surface roughness (Ra), Vickers hardness (VHN) and scanning electron microscopy (SEM) analyzes were performed. The data collected were evaluated by Levene test, two-way ANOVA and Tukey`s test (α=5%). The in situ challenge promoted the greater biodegradation, regardless of the material. Regarding the materials, the Vita Enamic VHN was negatively affected by all biodegradation methods and the Nexus NX3 presented better performance than the self-adhesive cement tested. Therefore, within the conditions of this work, it was concluded that in situ biodegradation can affect negatively the surface characteristics of indirect restorative materials.",2020,1,0,
254, Fracture strengths of endocrown restorations fabricated with different preparation depths and CAD/CAM materials,"B. Kanat-Ertürk, S. Saridağ, E. Köseler, D. Helvacioğlu-Yiğit, E. Avcu and Y. Yildiran-Avcu", Dent Mater J," The objectives of this study were to compare the fracture strength of endocrown restorations fabricated with different preparation depth and various CAD/CAM ceramics, and to assess the fracture types. Endodontically treated 100 extracted human permanent maxillary centrals were divided into two preparation depth groups as short (S: 3-mm-deep) and long (L: 6-mm-deep), then five ceramic subgroups, namely: feldspathic-ceramic (Vita Mark II-VM2), lithium-disilicate glass-ceramic (IPS e.max CAD-E.max), resin-ceramic (LAVA Ultimate-LU), polymer infiltrated ceramic (Vita Enamic-VE) and monoblock zirconia (inCoris TZI-TZI) (n=10/subgroup). The endocrowns were fabricated by CAD/CAM and were cemented with resin cement (RelyX U200). The teeth were thermally cycled (5,000cycles) and fracture tests were performed at 45º angle to the teeth. The data were statistically analyzed (Kruskal-Wallis, Mann Whitney U), failure modes were evaluated with stereomicroscopy. Zirconia group provided the statistically highest fracture strength, but also exhibited non-repairable failures. Preparation depth has an effect on the fracture strength only for feldspathic ceramic.",2018,1,0,
67, Characterisation of the Filler Fraction in CAD/CAM Resin-Based Composites,"A. Koenig, J. Schmidtke, L. Schmohl, S. Schneider-Feyrer, M. Rosentritt, H. Hoelzig, G. Kloess, K. Vejjasilpa, M. Schulz-Siegmund, F. Fuchs and S. Hahnel", Materials (Basel)," The performance of dental resin-based composites (RBCs) heavily depends on the characteristic properties of the individual filler fraction. As specific information regarding the properties of the filler fraction is often missing, the current study aims to characterize the filler fractions of several contemporary computer-aided design/computer-aided manufacturing (CAD/CAM) RBCs from a material science point of view. The filler fractions of seven commercially available CAD/CAM RBCs featuring different translucency variants were analysed using Scanning Electron Microscopy (SEM) with Energy Dispersive X-ray Spectroscopy (EDS), Micro-X-ray Computed Tomography (µXCT), Thermogravimetric Analysis (TG) and X-ray Diffractometry (XRD). All CAD/CAM RBCs investigated included midifill hybrid type filler fractions, and the size of the individual particles was clearly larger than the individual specifications of the manufacturer. The fillers in Shofu Block HC featured a sphericity of ≈0.8, while it was <0.7 in all other RBCs. All RBCs featured only X-ray amorphous phases. However, in Lava Ultimate, zircon crystals with low crystallinity were detected. In some CAD/CAM RBCs, inhomogeneities (X-ray opaque fillers or pores) with a size <80 µm were identified, but the effects were minor in relation to the total volume (<0.01 vol.%). The characteristic parameters of the filler fraction in RBCs are essential for the interpretation of the individual material's mechanical and optical properties.",2021,0,1,
381, Microtensile bond strength of CAD/CAM materials to dentin under different adhesive strategies,"M. C. Bellan, P. Cunha, J. G. Tavares, A. M. Spohr and E. G. Mota", Braz Oral Res," The present study aimed to evaluate the microtensile bond strength (μTBS) of novel computer-aided design/computer-aided manufacturing (CAD/CAM) restorative materials to dentin using different adhesive strategies. Thirty-two crowns were milled using CAD/CAM materials (Vita Mark II as control, Vita Suprinity, Vita Enamic and Lava Ultimate) and luted to dentin using different resin cements (RelyX ARC, RelyX Unicem 2 and RelyX Ultimate). The specimens were stored in 100% relative humidity at 37°C for 24 h and sectioned. The samples (n = 16) with cross-sectional areas of approximately 0.90 mm2, were submitted to a μTBS test in a universal testing machine with a crosshead speed of 0.5 mm/min. The samples were analyzed with SEM to determinate the failure mode. According to 2-way ANOVA and Tukey's test (α=0.05), the interaction effect (material x luting strategy) was significant (p=0.001). Regardless of the luting strategy, a higher μTBS was obtained with Lava Ultimate and Vita Enamic, which were significantly different from Vita Mark II and Vita Suprinity (p<0.05). For Vita Mark II, Vita Suprinity, Vita Enamic, and Lava Ultimate, the μTBS obtained with RelyX Unicem 2 was not significantly different from that obtained with RelyX ARC or RelyX Ultimate. All groups obtained at least three types of failure. The adhesive strategy with self-adhesive resin cement was comparable to conventional resin cement with total-etch or self-etch adhesive techniques in the bond of novel CAD/CAM materials to dentin.",2017,0,0,
47, Bonding effectiveness of self-adhesive and conventional-type adhesive resin cements to CAD/CAM resin blocks. Part 1: Effects of sandblasting and silanization,"M. Higashi, M. Matsumoto, A. Kawaguchi, J. Miura, T. Minamino, T. Kabetani, F. Takeshige, A. Mine and H. Yatani", Dent Mater J," The present study assessed the effect of sandblasting and silanization on resin cement bond strengths to CAD/CAM resin blocks. Twenty four blocks (KATANA AVENCIA BLOCK) were divided into two resin cement groups (PANAVIA V5 [PV5] and PANAVIA SA CEMENT HANDMIX [PSA]), and further divided into four subgroups representing different surface treatment methods: no treatment (Ctl), silanization (Si), sandblasting (Sb), and Sb+Si. After resin application, microtensile bond strengths (μTBSs) were measured immediately, 1, 3 and 6 months after water storage. In addition, surfaces resulting from each of the treatment methods were analyzed by scanning electron microscopy (SEM). Three-way analysis of variance revealed a statistically significant effect for the parameters 'surface treatment' (p<0.001, F=370), 'resin cement' (p<0.001, F=103, PSA<PV5), and 'water aging' (p<0.001, F=18). Control treatment yielded significantly lower μTBS values compared to other treatment subgroups (p<0.001). The highest bond strength was achieved with Sb+Si treatment. SEM revealed that sandblasting roughened surfaces.",2016,0,0,
48, Bonding effectiveness of self-adhesive and conventional-type adhesive resin cements to CAD/CAM resin blocks. Part 2: Effect of ultrasonic and acid cleaning,"A. Kawaguchi, M. Matsumoto, M. Higashi, J. Miura, T. Minamino, T. Kabetani, F. Takeshige, A. Mine and H. Yatani", Dent Mater J," The present study assessed the effect of ultrasonic and acid cleaning on resin cement bonding to CAD/CAM resin blocks. One of two resin cements, PANAVIA V5 (PV5) or PANAVIA SA CEMENT HANDMIX (PSA), were bonded to one of 24 CAD/CAM blocks (KATANA AVENCIA BLOCK). Each cement group was divided into four subgroups: no cleaning (Ctl), ultrasonic cleaning (Uc), acid cleaning (Ac) and Uc+Ac. Micro-tensile bond strengths (µTBSs) were measured immediately and 1, 3, and 6 months after water storage. Block surfaces after each treatment were analyzed by scanning electron microscopy. Analysis of variance revealed a statistically significant effect for the parameters 'surface treatment' (p<0.001, F=40), 'resin cement' (p<0.001, F=696) and 'water aging' (p<0.001, F=71). The PV5 group exhibited higher µTBS values than the PSA group. Although cleaning after sandblasting was effective in removing residual alumina particles, it did not affect the long-term bonding durability with non-contaminated CAD/CAM resin blocks.",2016,0,0,
329, Internal Fit and Marginal Gap Evaluation of Zirconia Copings Using Microcomputed Tomography: An In Vitro Analysis,"A. ArRejaie, H. Alalawi, F. A. Al-Harbi, R. Abualsaud and A. M. Al-Thobity", Int J Periodontics Restorative Dent," The purpose of this in vitro study was to measure the marginal and internal fit of single-unit all-ceramic zirconia copings (ZCs) fabricated through three different computer-aided design/computer-assisted manufacture (CAD/CAM) systems using microcomputed tomography (microCT). A total of 10 ZCs were produced for each experimental group. Scanning of the stainless steel (SS) model with its respective copings was conducted with a SkyScan machine. DataViewer software was used to acquire cross-sectional images. Locations of cross-sections for all specimens were standardized to reduce errors. Seven different cross-section locations were selected: four transverse and three sagittal. Adobe Photoshop CS3 was used for the measurements. One-way analysis of variance and Tukey post hoc test were used for the statistical analysis for each group. In addition, t test (α = .05) was used to compare values at each measurement location for the different groups. The results of this study show significant differences in the precision of fit of the experimental groups at the axio-occlusal transition (AOT) location, with a significant gap present in the DeguDent CAD/CAM System compared to the other two systems. Tukey test results indicate a significant difference in the marginal gap between the DeguDent CAD/CAM System and KaVo Everest Dental CAD/CAM System (P = .004). In addition, there is a significant difference in gap size values in the sagittal sections distal to the midline between the DeguDent CAD/CAM System and the Lava Ultimate CAD/CAM System (P = .002). The different CAD/CAM systems showed a clinically acceptable internal fit and marginal adaptation. Different levels of fit were found between the experimental groups. Marginal adaptation was the best in all experimental groups. The gap at the AOT area varied among the three groups, with the DeguDent CAD/CAM System showing the greatest value.",2018,0,0,
530, Wear Properties of Different Additive Restorative Materials Used for Onlay/Overlay Posterior Restorations,"F. De Angelis, C. D'Arcangelo, N. Malíšková, L. Vanini and M. Vadini", Oper Dent," The purpose of this laboratory study was to compare the two-body wear resistance of different restorative materials commonly used for the indirect restoration of posterior teeth. The tested materials, based on ceramic (Imagine Press X, IPS e.max CAD, Milled Celtra Duo, Glaze-Fired Celtra Duo, Vita Mark II) and composite (Enamel Plus HRi, Enamel Plus HRi Bio-Function, Filtek Supreme XTE, Lava Ultimate), were compared with the wear properties of a type III gold alloy (Aurocast 8). Flat samples were prepared with a 6-mm thickness (n=10). Composite samples were tested after a heat polymerization cycle. All samples were exposed to a two-body wear test in a dual axis chewing simulator performing over 120,000 loading cycles. The opposing abrader cusps were fabricated from yttria-stabilized tetragonal zirconia polycrystal. The vertical substance loss (mm) and the volume loss (mm(3)) were recorded, as was the wear of the antagonist cusp (mm). Mean values were analyzed by one-way analysis of variance. Significant differences among materials were detected. The heat-cured resin-based composite material Enamel Plus Bio-Function and the type III gold alloy demonstrated similar mean values for wear depth and volumetric loss.",2020,0,1,
179, Effectiveness of current adhesive systems when bonding to CAD/CAM indirect resin materials: A review of 32 publications,"A. Mine, T. Kabetani, A. Kawaguchi-Uemura, M. Higashi, Y. Tajiri, R. Hagino, D. Imai, M. Yumitate, S. Ban, M. Matsumoto and H. Yatani", Jpn Dent Sci Rev," The purpose of this review was to assess the available literature regarding bonding between current adhesive systems and computer-aided design/computer-aided manufacturing (CAD/CAM) indirect resin materials, to provide clinicians with a comparative overview of the relevant bonding procedures. An electronic search was performed through PubMed based on the keywords CAD/CAM and dental bonding. Additional relevant literature was obtained from the citations in the articles. A total of 313 papers were identified, of which 281 were excluded as being unsuitable, and an additional 3 papers were identified, giving a total of 32 articles that are included in this review. Based on this survey, it is recommended that microretentive surfaces should be generated by either blasting or hydrofluoric acid etching. This initial process should be followed by silanization to ensure chemical adhesion prior to bonding to CAD/CAM indirect resin composite materials (including Lava Ultimet, KATANA AVENCIA block, Gradia Block, Cerasmart, Paradigm, and Block HC) and CAD/CAM polymer-infiltrated ceramics (such as Vita Enamic). The use of materials containing methyl methacrylate (MMA) also appears to improve the bonding of CAD/CAM poly(methyl methacrylate) (PMMA) resin materials (including XHIPC-CAD/CAM, artBloc Temp, and Telio).",2019,1,1,
16, A comparative study of sliding wear of nonmetallic dental restorative materials with emphasis on micromechanical wear mechanisms,"N. D. Dupriez, A. K. von Koeckritz and K. H. Kunzelmann", J Biomed Mater Res B Appl Biomater," The purpose of this study is to investigate the in vitro tribological behavior of modern nonmetallic restorative materials. Specimen prepared of IPS e.max Press lithium disilicate glass ceramic, IPS Empress Esthetic leucite-reinforced glass ceramic, Everest ZS Blanks yttria-stabilized zirconia and Lava Ultimate composite were subjected to wear using a wear machine designed to simulate occlusal loads. The wear of the investigated materials and antagonists were evaluated by a three-dimensional surface scanner. The quantitative wear test results were used to compare and rank the materials. Specimens were divided into two groups with steatite and alumina antagonists. For each antagonist material an analysis of variance was applied. As a post hoc test of the significant differences, Tukey's honest significant difference test was used. With steatite antagonist: wear of zirconia < wear of leucite-reinforced ceramic < wear of lithium disilicate ceramic < wear of Lava Ultimate composite. No significant wear difference was found for steatite antagonist. The wear of IPS e.max Press and Lava Ultimate against hard alumina was found to be twice lower as compared to their wear when opposing to steatite. The differences were associated with materials mechanical properties (hardness and fracture toughness) and with materials microstructure. Wear mechanisms are discussed.",2015,0,1,
267, Hydroxyapatite coating effect on the bond strength between CAD/CAM materials and a resin cement,"O. Sagsoz, N. Polat Sagsoz, M. T. Yurtcan and N. Ozcelik", Odontology," The purpose of this study was to evaluate the bond strength between CAD/CAM materials and a resin cement using hydroxyapatite coating as a surface treatment method. Different surface treatments (Control, no treatment-C; Sandblasting-SB; Hydrofluoric acid etching-HF; applying tooth desensitizer-TeM; applying topical crème-ToM, HAp coating with Pulse Laser Deposition technique-PLD) were applied to three different CAD/CAM materials (LAVA Ultimate, VITA Enamic, and Cerec Blocs). After surface treatments, a universal adhesive (Single Bond Universal, 3M ESPE) was applied and adhesive resin (Rely X Ultimate, 3M ESPE) were cemented on each material surface using plastic tubes (4 mm in diameter). The shear bond strength values were measured using a universal testing machine. Scanning electron microscope analysis were performed to evaluate failure modes and effects of surface treatments. Obtained data were statistically analyzed using two-way ANOVA and Tukey's post hoc test (p = 0.05). The bond strength of PLD groups were significantly higher than other groups in resin-ceramics (p < 0.05). In Cerec Blocs, HF resulted significantly higher bond strength than other groups (p < 0.05). SEM analysis of surface treatment methods (except TeM and ToM) revealed an increase in surface alterations compared to control groups. Failure modes were dominantly adhesive in groups C, TeM, and ToM, whereas mostly mix or cohesive failures were observed in PLD, HF, and SB. Hydroxyapatite coating with PLD technique exhibited promising bond strength results for CAD/CAM resin-ceramics. HAp coating can be used as a replacement for hydrofluoric acid etching and sandblasting in CAD/CAM resin-ceramic materials to obtain better bond strength values.",2019,0,0,
476, Surface roughness and gloss of current CAD/CAM resin composites before and after toothbrush abrasion,"H. Koizumi, O. Saiki, H. Nogawa, H. Hiraba, T. Okazaki and H. Matsumura", Dent Mater J," The purpose of this study was to evaluate the gloss and surface roughness behaviors of newly developed CAD/CAM composite blocks with different filler contents and characteristics. The gloss and surface roughness were quantified before and after a toothbrush dentifrice abrasion test; the results were compared to the gloss and surface roughness of a ceramic CAD/CAM block. Knoop hardness was determined before abrasion test. The results were analyzed by ANOVA, Tukey HSD, and Dunnett t test (p<0.05). The rank order of Knoop hardness was as follows: Vita Mark II>Vita Enamic>Gradia block>Shofu Block HC, Lava Ultimate≥Katana Avencia block≥Cerasmart. After toothbrush abrasion, a significant difference in the gloss unit was detected between the Shofu Block HC material and the ceramic block. The Ra and Rz of the Cerasmart and Shofu Block HC materials were significantly larger than those of the ceramic block after toothbrush abrasion.",2015,0,1,
475, Surface properties and gloss of CAD/CAM composites after toothbrush abrasion testing,"K. Okamura, H. Koizumi, A. Kodaira, H. Nogawa and T. Yoneyama", J Oral Sci," The purpose of this study was to evaluate the surface properties and gloss of CAD/CAM composites after toothbrush abrasion testing. Four CAD/CAM composites for molars (Cerasmart 300, Estelite P block, Katana Avencia P block, and KZR-CAD HR3 Gammatheta), one CAD/CAM composite for premolars (Shofu Block HC Hard), and one feldspathic ceramics (Vitablocs Mark II) were assessed. Knoop hardness number, gloss, and surface roughness (Ra, Rz, and Sa) were measured before and after toothbrush abrasion testing. Knoop hardness number values were in the order Vitablocs Mark II > Katana Avencia P block > Estelite P Block > Shofu Block HC Hard > Cerasmart 300 > KZR-CAD HR3 Gammatheta. After testing, the gloss of Estelite P block and KZR-CAD HR3 Gammatheta was greatly decreased and surface roughness was greatly increased. Periodic recall and re-polishing may thus be necessary when these products are used clinically.",2019,0,1,
228, Final restoration of implants with a hybrid ceramic superstructure,A. Kurbad, Int J Comput Dent," The use of materials with elastic properties for the fabrication of dental implant superstructures seems to be a promising way to reduce the functional occlusal forces on implants. Vita Enamic (Vita Zahnfabrik, Bad Säckingen), a hybrid ceramic material for CAD/CAM technology, is available in a special form that can be relatively easily combined with titanium (Ti) base connectors for the fabrication of abutment crowns and mesostructures. Thus, an easily manageable method is available for reducing peak loads on dental implant fixtures. Representative cases are presented to demonstrate the clinical workflows for a single- element solution (Ti base) and two-element solution (Ti base with mesostructure) for implant-supported crowns.",2016,1,0,
23, Achieving high-level esthetics with CEREC,R. T. Masek, Compend Contin Educ Dent," This article describes the evolution of the CEREC CAD/CAM restorative system and its ability to create esthetic, durable ceramic- and resin-based restorations chairside. Included is discussion about specific techniques for color enhancement and modification to increase the esthetic result. The three machinable materials currently available for use with the CEREC system also are discussed.",2001,1,0,
441, Restorative management using hybrid ceramic of a patient with severe tooth erosion from swimming: a clinical report,C. Peampring, J Adv Prosthodont," This clinical report presents the clinical appearance and treatment approach in a case of excessive anterior teeth erosion resulted from swimming in a poorly-chlorinated swimming pool. Clinical findings revealed tooth sensitivity, severe enamel erosion resembling veneer preparations, and the presence of anterior open bite. A novel hybrid ceramic (Vita Enamic) was chosen for fabricating full-coverage crowns for this patient. After 6-months follow-up, the tooth sensitivity disappeared and the patient was satisfied with esthetic outcome. The hybrid ceramic restorations can be recommended with no complications.",2014,1,0,
194, Erosion of CAD/CAM restorative materials and human enamel: An in situ/in vivo study,"H. Yang, D. W. Hong, T. Attin, H. Cheng and H. Yu", J Mech Behav Biomed Mater," This in situ/in vivo study aimed to evaluate the effects of erosion on the surface microhardness, substance loss, and surface roughness of CAD/CAM restorative materials and human enamel. This study used a 2-treatment (14 days each) crossover design with 8 healthy volunteers. Each volunteer wore an intraoral appliance containing 3 CAD/CAM restorative material specimens [IPS e.max CAD, Lava Ultimate CAD/CAM Restorative, and a poly (methyl methacrylate) (PMMA) block for CAD/CAM] and 1 human enamel specimen. The specimens were subjected to in vivo erosion cycles by rinsing with 150 ml of cola drink (4 × 5 min/day) for 14 days. The surface microhardness, substance loss, and surface roughness of the specimens were measured at baseline (T1), day 7 (T2) and day 14 (T3). The data were statistically analyzed using repeated measures ANOVA and Tukey's test (α = 0.05). After erosion, significant increases in substance loss and surface roughness were observed for enamel, though the surface roughness and substance profile of the tested restorative materials remained unchanged. Erosion significantly decreased the surface microhardness of all materials. For IPS e.max and Lava Ultimate, a significantly higher percentage of surface microhardness loss (%SMH(l)) was found at T3 than at T2, while no significant difference was found between T2 and T3 for enamel and the PMMA block. In conclusion, CAD/CAM restorative materials showed smaller changes in surface roughness and the surface profile than human enamel after in situ/in vivo erosion. However, CAD/CAM restorative materials and human enamel showed similar changes in surface microhardness after in situ/in vivo erosion.",2020,0,0,
386, Microtensile bond strengths of adhesively bonded polymer-based CAD/CAM materials to dentin,"N. Capa, E. C. Say, C. Celebi and A. Casur", Dent Mater J," This in vitro study aimed to evaluate the effect of two different polymer-based CAD/CAM materials; resin-nano ceramic (Lava Ultimate [LVU]) and composite (CERASMART [CS]), their different surface pre-treatments, and use of different resin cements on the µTBS of adhesively bonded CAD/CAM onlays to dentin. CAD/CAM materials were cut into slabs and divided into five groups according to the surface pre-treatments applied: Silane Primer, OptiBond XTR adhesive, Silane Primer+OptiBond XTR adhesive, Single Bond Universal (SBU), and RelyX Ceramic Primer+SBU. The LVU and CS specimens were bonded to the mid-coronal dentin of 50 non-carious human molars using NX3 resin cement with OptiBond XTR or RelyX Ultimate with SBU. µTBS was evaluated after 5,000 thermocycling and analysed with three-way-ANOVA and post-hoc Tukey's tests (p<0.05). The µTBS was significantly influenced by the type of CAD/CAM material (p<0.0001) surface pre-treatments (p<0.05) and resin cements (p<0.05). Regardless of the pre-treatments and resin cements, bonding of the composite CAD/CAM material to dentin was higher than the resin nano-ceramic material.",2019,1,1,
227, Fatigue strength of several dental ceramics indicated for CAD-CAM monolithic restorations,"G. Nishioka, C. Prochnow, A. Firmino, M. Amaral, M. A. Bottino, L. F. Valandro and M. Renata Marques de", Braz Oral Res," This in vitro study evaluated the fatigue strength of different ceramic materials indicated for monolithic restorations. Disc-shaped specimens were made according to ISO 6872 from five different ceramic materials: feldspathic ceramic (FC), polymer-infiltrated ceramic network (PIC), lithium disilicate glass-ceramic (LD), zirconia-reinforced lithium silicate glass-ceramic (ZLS), and high translucent tetragonal zirconia polycrystals doped by yttrium (YZ-HT). After obtaining the mean of each material (n = 5) from monotonic load-to-failure tests, specimens (n = 20) were subjected to fatigue tests (staircase method) using a biaxial flexural setup (piston-on-three-balls), to determine the fatigue strength. The parameters used for fatigue tests were: 100,000 cycles at 10 Hz, initial load of ~ 60% of mean load-to-failure, and step size of 5% of the initial load (specific for each ceramic material). Kruskal-Wallis and Bonferroni's test (α = 0.05) were used to analyze the fatigue strength data. Fatigue strength (MPa) of the materials was statistically different among each other as follows: YZ-HT (370.2 ± 38.7) > LD (175.2 ± 7.5) > ZLS (152.1 ± 7.5) > PIC (81.8 ± 3.9) > FC (50.8 ± 1.9). Thus, it can be concluded that, in terms of fatigue, high translucent polycrystalline zirconia is the best choice for monolithic restorations as it bears the highest load before cracking/fracturing.",2018,1,0,
195, Erosion of CAD/CAM restorative materials and human enamel: An in vitro study,"H. Yang, Z. C. Lu, T. Attin and H. Yu", J Mech Behav Biomed Mater," This in vitro study used the same frequency and duration of acid contact as a previous in situ/in vivo study to evaluate the effect of erosion on CAD/CAM restorative materials and human enamel and to compare the effects of in vitro and in situ/in vivo acid challenges on CAD/CAM restorative materials and human enamel. The CAD/CAM restorative materials (IPS e.max CAD, Lava Ultimate, and PMMA block) and human enamel were eroded by immersion in 150 ml of cola drink for 14 days (4 × 5 min/day). The surface microhardness and surface roughness of the specimens were measured at baseline (T1), day 7 (T2), and day 14 (T3). The substance losses were measured at T2 and T3. The data were statistically analyzed using repeated measures ANOVA and Bonferroni's test (α = 0.05). Erosion significantly decreased the surface microhardness of the CAD/CAM restorative materials and human enamel (all P < 0.001). The overall percentage of surface microhardness loss (%SMH(l)) of the PMMA block and enamel due to in vitro erosion was significantly higher than that due to in situ/in vivo erosion (P = 0.02 and P < 0.001, respectively). Consistent with in situ/in vivo erosion, the surface roughness and profile of the tested restorative materials remained unchanged after in vitro erosion. A significant increase in the surface roughness and substance loss was observed for enamel after in vitro erosion (all P < 0.001). The overall substance loss of enamel due to in vitro erosion was significantly higher than that due to in situ/in vivo erosion (P < 0.001). In conclusion, erosion decreased the surface microhardness of the CAD/CAM restorative materials and human enamel. Moreover, erosion negatively influenced the substance loss and surface roughness of human enamel. For the substance loss of enamel and %SMH(l) of PMMA block and enamel, the in vitro erosive effects were approximately 1-2 times greater than the in situ/in vivo effects. However, for the surface roughness and profile of the CAD/CAM restorative materials, no significant difference was found between in vitro and in situ/in vivo erosion.",2021,0,0,
213," Failure Load and Fatigue Behavior of Monolithic Translucent Zirconia, PICN and Rapid-Layer Posterior Single Crowns on Zirconia Implants","F. A. Spitznagel, S. Röhrig, R. Langner and P. C. Gierthmuehlen", Materials (Basel)," This laboratory study aimed to evaluate the thermo-mechanical fatigue behavior and failure modes of monolithic and rapid-layer posterior single-crowns (SCs) supported by zirconia implants. METHODS: 120 all-ceramic crowns supported by one-piece zirconia implants (ceramic.implant; vitaclinical) were divided into five groups (n = 24 each): Group Z-HT: 3Y-TZP monolithic-zirconia (Vita-YZ-HT); Group Z-ST: 4Y-TZP monolithic-zirconia (Vita-YZ-ST); Z-XT: 5Y-TZP monolithic-zirconia (Vita-YZ-XT); Group E: monolithic-polymer-infiltrated ceramic network (PICN,Vita-Enamic); Group RL (rapid layer): PICN-""table-top"" (Vita-Enamic), 3Y-TZP-framework (Vita-YZ-HT). Half of the specimens of each group (n = 12) were exposed to fatigue with cyclic mechanical loading (F = 198N, 1.2-million cycles) and simultaneous thermocycling (5-55 °C). Single-load-to-failure testing (Z010, Zwick) was performed for all specimens without/with fatigue application. Data analysis was performed using ANOVA, Tukey's post-hoc test, two-sample t-test and Bonferroni correction (p < 0.05). RESULTS: All specimens survived fatigue exposure. Significant differences in failure loads were detected among groups (p ≤ 0.004). Materials Z-HT and Z-ST showed the highest failure loads followed by Z-XT, RL and E. The influence of fatigue was only significant for material RL. CONCLUSIONS: All types of tested materials exceeded clinically acceptable failure load values higher than 900N and can be recommended for clinical use. Z-HT and Z-ST appear to be highly reliable towards fatigue. Rapid-layer design of PICN and YZ-HT might be an interesting treatment concept for posterior implant SCs.",2021,1,0,
275, In Vitro Analysis of the Cytotoxicity of Indirect Restorative Materials,"M. Z. Scelza, I. P. Caldas, J. M. Mattos, F. Oliveira, W. Carvalho and G. G. Alves", Braz Dent J," This study aimed to compare the cytotoxicity of the Vita AC12, Lava Ultimate, Vita Enamic and InSync indirect restorative materials. Extracts of each material were prepared by incubation for 1, 7 and 40 days, with daily washing. Human gingival fibroblasts were exposed to the extracts, and cell viability was evaluated by sequential assessment of mitochondrial activity (XTT), membrane integrity (NRU) and cell density (CVDE). Extracts of polystyrene beads and latex fragments were used as negative and positive controls, respectively. Differences between groups and experimental times were evaluated by analysis of variance. At the 24 h extraction, significant differences between the control and both Vita AC-12 and InSync were observed in the XTT assay (p<0.05), and between the control and both Enamic and Lava Ultimate, in the CVDE assay (p<0.05). AC12, Lava Ultimate, and InSync presented significantly lower cell viability than Enamic and the control group, in the NRU assay (p<0.05). The Vita Enamic and Lava Ultimate hybrid ceramic-like materials presented better biocompatibility at the 24 h extraction time point than the AC12 and InSync ceramic materials. However, a simulation of the removal of toxic components by biological fluids, conducted by using longer extraction times and daily washing, led to the absence of cytotoxicity in all the tested restorative materials. These findings can be viewed as positive for the clinical indication of these restorative materials, considering their contact with adjacent soft tissues for extended periods of time.",2018,1,0,
